title,cast,director,keywords,genres,soup
Avatar,"['samworthington', 'zoesaldana', 'sigourneyweaver']",jamescameron,"['cultureclash', 'future', 'spacewar']","['action', 'adventure', 'fantasy']",cultureclash future spacewar samworthington zoesaldana sigourneyweaver j a m e s c a m e r o n action adventure fantasy
Pirates of the Caribbean: At World's End,"['johnnydepp', 'orlandobloom', 'keiraknightley']",goreverbinski,"['ocean', 'drugabuse', 'exoticisland']","['adventure', 'fantasy', 'action']",ocean drugabuse exoticisland johnnydepp orlandobloom keiraknightley g o r e v e r b i n s k i adventure fantasy action
Spectre,"['danielcraig', 'christophwaltz', 'léaseydoux']",sammendes,"['spy', 'basedonnovel', 'secretagent']","['action', 'adventure', 'crime']",spy basedonnovel secretagent danielcraig christophwaltz léaseydoux s a m m e n d e s action adventure crime
The Dark Knight Rises,"['christianbale', 'michaelcaine', 'garyoldman']",christophernolan,"['dccomics', 'crimefighter', 'terrorist']","['action', 'crime', 'drama']",dccomics crimefighter terrorist christianbale michaelcaine garyoldman c h r i s t o p h e r n o l a n action crime drama
John Carter,"['taylorkitsch', 'lynncollins', 'samanthamorton']",andrewstanton,"['basedonnovel', 'mars', 'medallion']","['action', 'adventure', 'sciencefiction']",basedonnovel mars medallion taylorkitsch lynncollins samanthamorton a n d r e w s t a n t o n action adventure sciencefiction
Spider-Man 3,"['tobeymaguire', 'kirstendunst', 'jamesfranco']",samraimi,"['dualidentity', 'amnesia', 'sandstorm']","['fantasy', 'action', 'adventure']",dualidentity amnesia sandstorm tobeymaguire kirstendunst jamesfranco s a m r a i m i fantasy action adventure
Tangled,"['zacharylevi', 'mandymoore', 'donnamurphy']",byronhoward,"['hostage', 'magic', 'horse']","['animation', 'family']",hostage magic horse zacharylevi mandymoore donnamurphy b y r o n h o w a r d animation family
Avengers: Age of Ultron,"['robertdowneyjr.', 'chrishemsworth', 'markruffalo']",josswhedon,"['marvelcomic', 'sequel', 'superhero']","['action', 'adventure', 'sciencefiction']",marvelcomic sequel superhero robertdowneyjr. chrishemsworth markruffalo j o s s w h e d o n action adventure sciencefiction
Harry Potter and the Half-Blood Prince,"['danielradcliffe', 'rupertgrint', 'emmawatson']",davidyates,"['witch', 'magic', 'broom']","['adventure', 'fantasy', 'family']",witch magic broom danielradcliffe rupertgrint emmawatson d a v i d y a t e s adventure fantasy family
Batman v Superman: Dawn of Justice,"['benaffleck', 'henrycavill', 'galgadot']",zacksnyder,"['dccomics', 'vigilante', 'superhero']","['action', 'adventure', 'fantasy']",dccomics vigilante superhero benaffleck henrycavill galgadot z a c k s n y d e r action adventure fantasy
